doc,query_id,label
doc_3974,Q5,1
doc_1384,Q5,1
doc_696,Q5,1
doc_136,Q5,1
doc_114,Q5,1
doc_2954,Q5,1
doc_2088,Q5,1
doc_400,Q5,1
doc_12,Q5,1
doc_1606,Q5,1
doc_3356,Q5,0
doc_1117,Q5,0
doc_2792,Q5,0
doc_2834,Q5,0
doc_4,Q5,0
doc_8,Q5,0
doc_37,Q5,0
doc_25,Q5,0
doc_65,Q5,0
doc_24,Q5,0
doc_222,Q4,1
doc_1841,Q4,1
doc_204,Q4,1
doc_3209,Q4,1
doc_1632,Q4,1
doc_3372,Q4,1
doc_3220,Q4,1
doc_1540,Q4,1
doc_2834,Q4,1
doc_2792,Q4,1
doc_3974,Q4,0
doc_3356,Q4,0
doc_1117,Q4,0
doc_34,Q4,0
doc_4,Q4,0
doc_8,Q4,0
doc_37,Q4,0
doc_2,Q4,0
doc_65,Q4,0
doc_24,Q4,0
doc_2069,Q3,1
doc_1055,Q3,1
doc_741,Q3,1
doc_1907,Q3,1
doc_2844,Q3,1
doc_1539,Q3,1
doc_1528,Q3,1
doc_1978,Q3,1
doc_1535,Q3,1
doc_3861,Q3,1
doc_1566,Q3,0
doc_3157,Q3,0
doc_846,Q3,0
doc_539,Q3,0
doc_2557,Q3,0
doc_8,Q3,0
doc_37,Q3,0
doc_22,Q3,0
doc_65,Q3,0
doc_24,Q3,0
doc_2660,Q2,1
doc_3089,Q2,1
doc_3794,Q2,1
doc_3073,Q2,1
doc_826,Q2,1
doc_1322,Q2,1
doc_3187,Q2,1
doc_1096,Q2,1
doc_3758,Q2,1
doc_3591,Q2,1
doc_9,Q2,0
doc_1100,Q2,0
doc_720,Q2,0
doc_624,Q2,0
doc_3073,Q2,0
doc_2370,Q2,0
doc_784,Q2,0
doc_3063,Q2,0
doc_407,Q2,0
doc_2533,Q2,0
doc_647,Q1,1
doc_1747,Q1,1
doc_2635,Q1,1
doc_1847,Q1,1
doc_613,Q1,1
doc_3931,Q1,1
doc_1391,Q1,1
doc_3928,Q1,1
doc_3372,Q1,1
doc_672,Q1,1
doc_2611,Q1,0
doc_2806,Q1,0
doc_2176,Q1,0
doc_2488,Q1,0
doc_1669,Q1,0
doc_1953,Q1,0
doc_1641,Q1,0
doc_637,Q1,0
doc_885,Q1,0
doc_174,Q1,0
